Player,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xAG/90,GA90,Save%,CS%,PK Save%
28,380,0,26.4,1.0,0.0,0.0,0.0,0.0,0.3,69.0,75.0,0.0,0.04,0.04,0.01,0.05,0.06,0.01,,,0.0,0.0,0.0,0.0
10,101,6,12.2,0.0,6.0,0.0,0.0,0.0,6.1,9.0,58.0,0.49,0.49,0.49,0.49,0.06,0.56,0.49,,,0.0,0.0,0.0,0.0
1,184,0,2.0,0.0,0.0,0.0,0.0,0.0,0.6,15.0,13.0,0.0,0.0,0.0,0.28,0.54,0.82,0.28,,,0.0,0.0,0.0,0.0
15,210,2,13.4,0.0,2.0,0.0,0.0,0.0,0.6,71.0,3.0,0.15,0.15,0.15,0.04,0.02,0.06,0.04,,,0.0,0.0,0.0,0.0
0,15,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.44,0.44,0.0,,,0.0,0.0,0.0,0.0
5,476,0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,,,0.0,0.0,0.0,0.0
1,150,0,1.7,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,,,0.0,0.0,0.0,0.0
3,224,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,,,0.0,0.0,0.0,0.0
28,456,8,27.3,5.0,7.0,1.0,1.0,0.0,7.2,81.0,166.0,0.29,0.48,0.44,0.26,0.2,0.46,0.24,,,0.0,0.0,0.0,0.0
3,463,0,5.1,1.0,0.0,0.0,0.0,0.0,0.5,22.0,21.0,0.0,0.19,0.19,0.11,0.07,0.18,0.11,,,0.0,0.0,0.0,0.0
23,078,0,23.1,1.0,0.0,0.0,0.0,0.0,0.8,54.0,1.0,0.0,0.04,0.04,0.03,0.02,0.06,0.03,,,0.0,0.0,0.0,0.0
11,890,0,9.9,1.0,0.0,0.0,0.0,0.0,0.1,30.0,34.0,0.0,0.1,0.1,0.01,0.09,0.1,0.01,,,0.0,0.0,0.0,0.0
4,449,0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,9.0,42.0,0.0,0.0,0.0,0.18,0.02,0.2,0.18,,,0.0,0.0,0.0,0.0
6,605,1,6.7,0.0,1.0,0.0,0.0,0.0,1.5,12.0,27.0,0.15,0.15,0.15,0.22,0.1,0.32,0.22,,,0.0,0.0,0.0,0.0
3,272,0,3.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,25.0,0.0,0.0,0.0,0.04,0.06,0.09,0.04,,,0.0,0.0,0.0,0.0
8,793,2,8.8,0.0,2.0,0.0,0.0,0.0,2.2,26.0,72.0,0.23,0.23,0.23,0.25,0.19,0.44,0.25,,,0.0,0.0,0.0,0.0
0,98,0,1.1,0.0,0.0,0.0,0.0,0.0,0.7,7.0,6.0,0.0,0.0,0.0,0.6,0.02,0.62,0.6,,,0.0,0.0,0.0,0.0
17,581,0,17.6,0.0,0.0,0.0,0.0,0.0,0.4,27.0,1.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,,,0.0,0.0,0.0,0.0
13,399,4,15.5,2.0,4.0,0.0,0.0,0.0,3.6,49.0,63.0,0.26,0.39,0.39,0.23,0.2,0.42,0.23,,,0.0,0.0,0.0,0.0
13,215,0,13.5,1.0,0.0,0.0,0.0,0.0,0.7,36.0,3.0,0.0,0.07,0.07,0.05,0.04,0.09,0.05,,,0.0,0.0,0.0,0.0
31,790,0,31.0,0.0,0.0,0.0,0.0,0.0,1.3,51.0,7.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,,,0.0,0.0,0.0,0.0
Starts,Min,Gls,90s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
12,926,0,10.3,1.0,0.0,0.0,0.0,0.0,0.5,8.0,65.0,0.0,0.1,0.1,0.05,0.16,0.21,0.05,,,0.0,0.0,0.0,0.0
32,811,1,31.2,2.0,1.0,0.0,0.0,0.0,0.7,180.0,32.0,0.03,0.1,0.1,0.02,0.09,0.12,0.02,,,0.0,0.0,0.0,0.0
2,470,1,5.2,0.0,1.0,0.0,0.0,1.0,0.2,47.0,28.0,0.19,0.19,0.19,0.04,0.15,0.19,0.04,,,0.0,0.0,0.0,0.0
22,694,1,18.8,0.0,1.0,0.0,0.0,0.0,0.5,45.0,15.0,0.05,0.05,0.05,0.03,0.03,0.06,0.03,,,0.0,0.0,0.0,0.0
11,925,2,10.3,1.0,2.0,0.0,0.0,0.0,0.9,54.0,29.0,0.19,0.29,0.29,0.08,0.03,0.11,0.08,,,0.0,0.0,0.0,0.0
19,574,3,17.5,1.0,3.0,0.0,0.0,0.0,6.1,19.0,105.0,0.17,0.23,0.23,0.35,0.04,0.39,0.35,,,0.0,0.0,0.0,0.0
8,830,0,9.2,0.0,0.0,0.0,0.0,0.0,0.6,34.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,,,0.0,0.0,0.0,0.0
3,455,2,5.1,1.0,2.0,0.0,0.0,0.0,2.5,17.0,23.0,0.4,0.59,0.59,0.49,0.13,0.62,0.49,,,0.0,0.0,0.0,0.0
15,271,1,14.1,0.0,1.0,0.0,0.0,0.0,1.5,65.0,26.0,0.07,0.07,0.07,0.1,0.16,0.26,0.1,,,0.0,0.0,0.0,0.0
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
18,560,1,17.3,1.0,1.0,0.0,0.0,0.0,0.3,38.0,65.0,0.06,0.12,0.12,0.02,0.06,0.08,0.02,,,0.0,0.0,0.0,0.0
0,19,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
17,612,0,17.9,1.0,0.0,0.0,0.0,0.0,0.4,61.0,65.0,0.0,0.06,0.06,0.02,0.07,0.09,0.02,,,0.0,0.0,0.0,0.0
12,060,3,11.8,0.0,3.0,0.0,0.0,0.0,1.2,34.0,6.0,0.25,0.25,0.25,0.1,0.03,0.14,0.1,,,0.0,0.0,0.0,0.0
7,566,0,6.3,1.0,0.0,0.0,0.0,0.0,0.7,24.0,2.0,0.0,0.16,0.16,0.12,0.19,0.3,0.12,,,0.0,0.0,0.0,0.0
7,624,1,6.9,1.0,1.0,0.0,0.0,0.0,1.2,25.0,20.0,0.14,0.29,0.29,0.17,0.09,0.26,0.17,,,0.0,0.0,0.0,0.0
