Player,Rk,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Carlos Baleba,44,cmCMR,MF,Brighton,21-111,2004,24.7,8,1,1,37,42,0,8,39,37,0,2,0,163,37,21,63.8,Matches
Carlos Forbs,184,ptPOR,"MF,FW",Wolves,21-036,2004,2.6,2,0,0,2,1,0,9,1,5,0,0,0,11,1,3,25.0,Matches
Carlos Soler,475,esESP,"MF,FW",West Ham,28-112,1997,15.0,5,0,0,24,17,0,31,8,10,0,0,0,63,9,11,45.0,Matches
Carlos Vinícius,532,brBRA,"FW,MF",Fulham,30-030,1995,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Casemiro,86,brBRA,MF,Manchester Utd,33-060,1992,14.1,3,0,0,15,18,3,19,12,43,0,0,0,82,28,17,62.2,Matches
Chadi Riad,428,maMAR,DF,Crystal Palace,21-311,2003,1.0,0,0,0,1,0,0,0,2,2,0,0,0,4,2,4,33.3,Matches
Charlie Taylor,497,engENG,DF,Southampton,31-218,1993,3.0,1,0,0,2,2,0,9,3,5,0,0,0,7,4,2,66.7,Matches
Cheick Doucouré,146,mlMLI,MF,Crystal Palace,25-106,2000,5.0,1,0,0,7,7,0,1,11,8,0,0,0,31,5,5,50.0,Matches
Chidozie Obi-Martin,385,dkDEN,FW,Manchester Utd,17-146,2007,0.5,1,0,0,0,0,0,0,0,0,0,0,0,7,1,1,50.0,Matches
Chiedozie Ogbene,387,ieIRL,FW,Ipswich Town,27-358,1997,2.6,0,0,0,2,7,1,4,1,3,0,0,0,6,1,6,14.3,Matches
Chiquinho,97,ptPOR,MF,Wolves,25-078,2000,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,N/a,Matches
Chris Richards,430,usUSA,DF,Crystal Palace,25-027,2000,17.4,4,1,1,11,4,1,1,10,27,1,0,0,48,33,35,48.5,Matches
Chris Wood,557,nzNZL,FW,Nott'ham Forest,33-138,1991,27.9,1,0,0,22,20,24,1,5,4,0,0,0,40,80,117,40.6,Matches
Christian Eriksen,165,dkDEN,MF,Manchester Utd,33-069,1992,11.0,4,0,0,8,3,0,74,7,9,0,0,0,59,2,5,28.6,Matches
Christian Nørgaard,381,dkDEN,MF,Brentford,31-045,1994,26.3,5,1,0,37,26,1,13,42,44,0,0,0,173,40,29,58.0,Matches
Christian Walton,535,engENG,GK,Ipswich Town,29-166,1995,6.0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,100.0,Matches
Christopher Nkunku,376,frFRA,FW,Chelsea,27-161,1997,10.2,2,0,0,16,11,3,4,7,8,0,0,0,29,16,22,42.1,Matches
Cody Gakpo,190,nlNED,FW,Liverpool,25-352,1999,17.3,4,0,0,16,20,5,61,9,12,1,0,0,58,15,21,41.7,Matches
Cole Palmer,400,engENG,MF,Chelsea,22-353,2002,30.5,6,0,0,12,55,6,130,8,15,1,0,0,91,1,7,12.5,Matches
Conor Bradley,65,nirNIR,DF,Liverpool,21-289,2003,5.9,3,0,0,8,10,0,5,3,8,0,0,0,34,7,6,53.8,Matches
Conor Chaplin,93,engENG,"MF,FW",Ipswich Town,28-067,1997,6.9,1,0,0,10,5,0,9,3,5,0,0,0,23,2,8,20.0,Matches
Conor Coady,103,engENG,DF,Leicester City,32-058,1993,14.0,2,0,0,5,2,1,0,11,8,0,2,0,44,12,16,42.9,Matches
Conor Townsend,511,engENG,DF,Ipswich Town,32-051,1993,3.7,1,0,0,2,4,0,12,4,8,0,0,0,8,6,4,60.0,Matches
Craig Dawson,124,engENG,DF,Wolves,34-353,1990,10.8,2,0,0,6,5,2,0,9,3,0,0,2,35,21,11,65.6,Matches
Cristian Romero,439,arARG,DF,Tottenham,26-362,1998,15.7,3,0,0,14,12,2,3,21,29,0,0,0,90,41,27,60.3,Matches
Crysencio Summerville,491,nlNED,"FW,MF",West Ham,23-176,2001,8.7,2,0,0,9,23,4,21,0,7,0,0,0,38,4,9,30.8,Matches
Curtis Jones,264,engENG,"MF,DF",Liverpool,24-084,2001,15.7,3,1,1,15,21,1,6,5,17,1,0,0,75,13,12,52.0,Matches
Daichi Kamada,270,jpJPN,MF,Crystal Palace,28-262,1996,14.9,3,1,0,25,17,2,27,16,25,0,0,0,67,3,12,20.0,Matches
Dan Burn,76,engENG,DF,Newcastle Utd,32-350,1992,32.0,9,0,0,27,11,4,2,25,18,0,0,2,87,122,61,66.7,Matches
Dane Scarlett,453,engENG,"FW,MF",Tottenham,21-031,2004,0.4,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,100.0,Matches
Dango Ouattara,397,bfBFA,FW,Bournemouth,23-072,2002,20.5,2,0,0,15,17,13,80,8,23,0,0,0,83,41,57,41.8,Matches
Daniel Bentley,53,engENG,GK,Wolves,31-285,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0,Matches
Daniel Jebbison,254,engENG,FW,Bournemouth,21-254,2003,0.8,1,0,0,2,2,0,1,1,1,0,0,0,7,2,9,18.2,Matches
Daniel Muñoz,363,coCOL,DF,Crystal Palace,28-333,1996,31.9,9,0,0,47,19,13,60,39,70,0,0,0,149,56,73,43.4,Matches
