Player,Rk,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2,Matches
Andy Irving,247,sctSCO,MF,West Ham,24-346,2000,10,1,166,1.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,0,9,4,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19,Matches
Anthony Elanga,159,seSWE,FW,Nott'ham Forest,22-362,2002,33,26,"2,052",22.8,6,9,15,6,0,0,1,0,3.9,3.9,4.4,8.4,79,47,164,0.26,0.39,0.66,0.26,0.66,0.17,0.19,0.37,0.17,0.37,Matches
Anthony Gordon,206,engENG,FW,Newcastle Utd,24-059,2001,29,25,"2,176",24.2,6,5,11,5,1,2,2,0,7.9,6.3,4.9,11.2,108,91,190,0.25,0.21,0.45,0.21,0.41,0.33,0.20,0.53,0.26,0.46,Matches
Antoine Semenyo,460,ghGHA,FW,Bournemouth,25-107,2000,32,32,"2,823",31.4,8,4,12,8,0,0,9,0,9.1,9.1,5.7,14.8,132,103,258,0.26,0.13,0.38,0.26,0.38,0.29,0.18,0.47,0.29,0.47,Matches
Antonee Robinson,433,usUSA,DF,Fulham,27-259,1997,33,32,"2,899",32.2,0,10,10,0,0,0,8,0,0.7,0.7,4.1,4.8,110,120,257,0.00,0.31,0.31,0.00,0.31,0.02,0.13,0.15,0.02,0.15,Matches
Antony,28,brBRA,"DF,MF",Manchester Utd,25-059,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.65,0.08,0.73,0.65,0.73,Matches
Antonín Kinský,281,czCZE,GK,Tottenham,22-042,2003,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Archie Gray,208,engENG,"DF,MF",Tottenham,19-043,2006,23,14,"1,346",15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,31,15,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Arijanet Muric,364,xkKVX,GK,Ipswich Town,26-168,1998,18,18,"1,620",18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Armando Broja,70,alALB,FW,Everton,23-226,2001,10,4,334,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,12,2,26,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches
Armel Bella Kotchap,50,deGER,DF,Southampton,23-134,2001,4,2,331,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,5,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
Asher Agbinone,7,engENG,MF,Crystal Palace,19-208,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79,Matches
Ashley Young,563,engENG,"DF,FW",Everton,39-289,1985,27,17,"1,586",17.6,1,3,4,1,0,0,6,1,0.3,0.3,1.6,1.8,19,81,25,0.06,0.17,0.23,0.06,0.23,0.02,0.09,0.10,0.02,0.10,Matches
Axel Disasi,136,frFRA,DF,Aston Villa,27-044,1998,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,10,16,5,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
Axel Tuanzebe,519,cdCOD,DF,Ipswich Town,27-161,1997,18,17,"1,445",16.1,0,1,1,0,0,0,5,1,0.2,0.2,0.3,0.5,9,45,8,0.00,0.06,0.06,0.00,0.06,0.01,0.02,0.03,0.01,0.03,Matches
Ayden Heaven,228,engENG,DF,Manchester Utd,18-214,2006,2,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bart Verbruggen,529,nlNED,GK,Brighton,22-249,2002,31,31,"2,790",31.0,0,1,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
Ben Brereton,68,clCHI,FW,Southampton,26-006,1999,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,12,9,42,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches
Ben Chilwell,96,engENG,DF,Crystal Palace,28-124,1996,6,0,139,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,3,10,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.18,0.05,0.18,Matches
Ben Davies,122,wlsWAL,DF,Tottenham,32-000,1993,12,10,946,10.5,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,13,48,6,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Ben Godfrey,198,engENG,DF,Ipswich Town,27-099,1998,2,2,108,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ben Johnson,261,engENG,"DF,FW",Ipswich Town,25-090,2000,21,13,"1,312",14.6,1,2,3,1,0,0,3,0,1.1,1.1,1.3,2.3,16,25,32,0.07,0.14,0.21,0.07,0.21,0.07,0.09,0.16,0.07,0.16,Matches
Ben Mee,340,engENG,DF,Brentford,35-215,1989,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ben White,547,engENG,DF,Arsenal,27-198,1997,13,9,856,9.5,0,1,1,0,0,0,2,0,0.4,0.4,0.8,1.2,10,42,27,0.00,0.11,0.11,0.00,0.11,0.04,0.09,0.13,0.04,0.13,Matches
Ben Winterburn,555,engENG,"FW,MF",Bournemouth,20-232,2004,3,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Benoît Badiashile,42,frFRA,DF,Chelsea,24-029,2001,5,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,17,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bernardo Silva,465,ptPOR,"MF,FW",Manchester City,30-257,1994,29,25,"2,311",25.7,3,4,7,3,0,0,7,0,3.2,3.2,4.2,7.5,92,109,180,0.12,0.16,0.27,0.12,0.27,0.13,0.17,0.29,0.13,0.29,Matches
Bernd Leno,297,deGER,GK,Fulham,33-051,1992,33,33,"2,970",33.0,0,1,1,0,0,0,4,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
Beto,57,gwGNB,FW,Everton,27-083,1998,25,10,"1,129",12.5,6,0,6,6,0,0,2,0,6.1,6.1,0.8,6.9,12,9,58,0.48,0.00,0.48,0.48,0.48,0.48,0.06,0.55,0.48,0.55,Matches
Bilal El Khannouss,277,maMAR,MF,Leicester City,20-349,2004,28,23,"1,838",20.4,2,2,4,2,0,0,4,0,0.8,0.8,3.1,3.9,61,112,71,0.10,0.10,0.20,0.10,0.20,0.04,0.15,0.19,0.04,0.19,Matches
Billy Gilmour,197,sctSCO,MF,Brighton,23-317,2001,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Bobby Reid,426,jmJAM,FW,Leicester City,32-081,1993,22,8,700,7.8,1,2,3,1,0,0,2,0,0.8,0.8,1.2,2.0,13,14,44,0.13,0.26,0.39,0.13,0.39,0.10,0.15,0.25,0.10,0.25,Matches
