Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
79,Moisés Caicedo,ecECU,MF,Chelsea,23-170,2001,33,33,2901.0,32.2,1,2,3,1,0,0,10,0,0.7,0.7,2.9,3.6,37,188,32,0.03,0.06,0.09,0.03,0.09,0.02,0.09,0.11,0.02,0.11,Matches
354,Morato,brBRA,DF,Nott'ham Forest,23-295,2001,22,5,754.0,8.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,0,14,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
196,Morgan Gibbs-White,engENG,MF,Nott'ham Forest,25-084,2000,28,28,2288.0,25.4,5,7,12,5,0,0,8,1,4.3,4.3,4.4,8.7,62,139,112,0.20,0.28,0.47,0.20,0.47,0.17,0.17,0.34,0.17,0.34,Matches
438,Morgan Rogers,engENG,"FW,MF",Aston Villa,22-269,2002,32,32,2678.0,29.8,8,8,16,8,0,0,8,0,6.1,6.1,6.5,12.6,102,111,166,0.27,0.27,0.54,0.27,0.54,0.21,0.22,0.42,0.21,0.42,Matches
365,Murillo,brBRA,DF,Nott'ham Forest,22-291,2002,31,31,2748.0,30.5,1,0,1,1,0,0,5,0,1.2,1.2,1.1,2.3,19,99,4,0.03,0.00,0.03,0.03,0.03,0.04,0.04,0.08,0.04,0.08,Matches
360,Mykhailo Mudryk,uaUKR,FW,Chelsea,24-106,2001,7,1,151.0,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,0.00,0.00,0.00,0.00,0.00,0.15,0.58,0.73,0.15,0.73,Matches
301,Myles Lewis-Skelly,engENG,DF,Arsenal,18-207,2006,18,11,993.0,11.0,1,0,1,1,0,0,2,2,0.1,0.1,0.2,0.4,26,55,24,0.09,0.00,0.09,0.09,0.09,0.01,0.02,0.03,0.01,0.03,Matches
69,Nathan Broadhead,wlsWAL,"MF,FW",Ipswich Town,27-016,1998,16,6,605.0,6.7,1,0,1,1,0,0,1,0,1.5,1.5,0.6,2.1,17,12,27,0.15,0.00,0.15,0.15,0.15,0.22,0.10,0.32,0.22,0.32,Matches
105,Nathan Collins,ieIRL,DF,Brentford,23-356,2001,33,33,2970.0,33.0,2,2,4,2,0,0,5,0,2.5,2.5,1.5,4.0,25,112,18,0.06,0.06,0.12,0.06,0.12,0.08,0.05,0.12,0.08,0.12,Matches
404,Nathan Patterson,sctSCO,"DF,FW",Everton,23-187,2001,8,1,203.0,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,7,7,0.00,0.00,0.00,0.00,0.00,0.03,0.15,0.18,0.03,0.18,Matches
558,Nathan Wood-Gordon,engENG,DF,Southampton,22-325,2002,9,7,624.0,6.9,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,2,17,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches
102,Nathaniel Clyne,engENG,"DF,MF",Crystal Palace,34-016,1991,13,5,483.0,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,6,7,8,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
549,Neco Williams,wlsWAL,DF,Nott'ham Forest,24-008,2001,29,22,2054.0,22.8,1,2,3,1,0,0,5,0,2.2,2.2,1.4,3.6,53,70,77,0.04,0.09,0.13,0.04,0.13,0.10,0.06,0.16,0.10,0.16,Matches
373,Neto,brBRA,GK,Bournemouth,35-276,1989,2,2,180.0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
414,Nick Pope,engENG,GK,Newcastle Utd,33-002,1992,23,23,2070.0,23.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
189,Niclas Füllkrug,deGER,FW,West Ham,32-071,1993,13,4,544.0,6.0,3,2,5,3,0,0,2,0,1.9,1.9,1.9,3.8,5,9,21,0.50,0.33,0.83,0.50,0.83,0.32,0.31,0.63,0.32,0.63,Matches
398,Nico O’Reilly,engENG,DF,Manchester City,20-031,2005,6,4,366.0,4.1,2,0,2,2,0,0,0,0,1.1,1.1,0.2,1.3,11,12,17,0.49,0.00,0.49,0.49,0.49,0.27,0.04,0.32,0.27,0.32,Matches
250,Nicolas Jackson,snSEN,FW,Chelsea,23-305,2001,27,25,2025.0,22.5,9,5,14,9,0,0,7,0,12.1,12.1,4.3,16.4,44,35,114,0.40,0.22,0.62,0.40,0.62,0.54,0.19,0.73,0.54,0.73,Matches
142,Nicolás Domínguez,arARG,"MF,FW",Nott'ham Forest,26-297,1998,28,18,1567.0,17.4,0,0,0,0,0,0,8,0,1.4,1.4,1.3,2.7,12,60,24,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.15,0.08,0.15,Matches
205,Nicolás González,esESP,MF,Manchester City,23-108,2002,8,8,647.0,7.2,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.3,5,46,10,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
344,Nikola Milenković,rsSRB,DF,Nott'ham Forest,27-191,1997,31,31,2790.0,31.0,4,2,6,4,0,0,4,0,3.6,3.6,0.8,4.4,3,45,5,0.13,0.06,0.19,0.13,0.19,0.12,0.03,0.14,0.12,0.14,Matches
314,Noni Madueke,engENG,FW,Chelsea,23-042,2002,27,22,1646.0,18.3,7,3,10,7,0,0,3,0,7.9,7.9,3.9,11.8,124,60,198,0.38,0.16,0.55,0.38,0.55,0.43,0.21,0.65,0.43,0.65,Matches
