Player,Rk,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_2,Att_2,Cmp%_2,Cmp_3,Att_3,Cmp%_3,Cmp_4,Att_4,Cmp%_4,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Issa Diop,135,frFRA,DF,Fulham,28-105,1997,14.9,663,758,87.5,12350,4179,233,252,92.5,379,408,92.9,46,87,52.9,0,0.1,0.1,-0.1,3,43,1,0,25,Matches
Jack Clarke,101,engENG,"FW,MF",Ipswich Town,24-152,2000,11.0,253,330,76.7,4122,1009,131,150,87.3,106,121,87.6,13,28,46.4,4,2.0,1.0,+2.0,22,23,6,0,32,Matches
Jack Grealish,209,engENG,"FW,MF",Manchester City,29-226,1995,8.0,381,435,87.6,5676,986,246,264,93.2,115,131,87.8,18,26,69.2,1,1.8,1.7,-0.8,24,23,16,0,52,Matches
Jack Harrison,225,engENG,FW,Everton,28-155,1996,20.3,363,572,63.5,5743,2109,209,257,81.3,107,154,69.5,31,94,33.0,0,3.7,3.1,-3.7,31,25,23,9,43,Matches
Jack Hinshelwood,236,engENG,"DF,MF",Brighton,20-013,2005,17.7,745,899,82.9,11324,2759,435,476,91.4,242,289,83.7,50,96,52.1,1,1.2,1.4,-0.2,12,29,8,2,55,Matches
Jack Stephens,483,engENG,DF,Southampton,31-087,1994,11.9,729,792,92.0,12666,3598,289,312,92.6,387,408,94.9,39,48,81.3,0,0.2,0.3,-0.2,3,46,5,0,49,Matches
Jack Taylor,498,ieIRL,MF,Ipswich Town,26-305,1998,6.7,260,319,81.5,4585,1304,113,131,86.3,123,142,86.6,19,34,55.9,0,0.5,0.8,-0.5,5,27,8,1,37,Matches
Jacob Greaves,210,engENG,DF,Ipswich Town,24-224,2000,19.5,774,888,87.2,12712,4892,365,392,93.1,368,401,91.8,29,69,42.0,0,0.0,0.2,0.0,2,56,1,0,48,Matches
Jacob Murphy,366,engENG,FW,Newcastle Utd,30-059,1995,22.4,562,820,68.5,8420,2696,341,404,84.4,174,259,67.2,35,83,42.2,11,7.8,5.0,+3.2,36,45,32,13,61,Matches
Jacob Ramsey,419,engENG,"FW,MF",Aston Villa,23-331,2001,16.5,470,550,85.5,6225,1446,324,352,92.0,117,139,84.2,14,19,73.7,3,2.1,2.1,+0.9,18,30,20,1,64,Matches
Jaden Philogene Bidace,408,engENG,"FW,MF",Aston Villa,23-075,2002,3.7,63,86,73.3,850,161,40,49,81.6,18,21,85.7,2,3,66.7,0,0.3,0.2,-0.3,1,1,3,0,4,Matches
Jadon Sancho,446,engENG,FW,Chelsea,25-030,2000,18.4,622,754,82.5,8411,1947,386,433,89.1,200,238,84.0,13,26,50.0,4,3.4,3.0,+0.6,35,25,46,0,86,Matches
Jahmai Simpson-Pusey,468,engENG,DF,Manchester City,19-171,2005,1.1,107,115,93.0,1754,549,47,49,95.9,57,59,96.6,3,7,42.9,0,0.0,0.0,0.0,0,3,0,0,3,Matches
Jake Evans,169,N/a,FW,Leicester City,N/a,N/a,0.0,0,0,N/a,0,0,0,0,N/a,0,0,N/a,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Jake O'Brien,382,ieIRL,DF,Everton,23-344,2001,13.5,410,544,75.4,7332,3000,192,219,87.7,167,221,75.6,45,74,60.8,0,0.6,0.3,-0.6,6,36,8,5,39,Matches
Jakub Kiwior,282,plPOL,DF,Arsenal,25-068,2000,8.5,494,543,91.0,8754,2525,187,199,94.0,283,297,95.3,22,39,56.4,0,0.3,0.2,-0.3,3,45,3,0,35,Matches
Jakub Moder,351,plPOL,MF,Brighton,26-017,1999,0.1,18,22,81.8,254,82,10,14,71.4,8,8,100.0,0,0,N/a,0,0.2,0.5,-0.2,3,0,1,1,4,Matches
Jakub Stolarczyk,486,plPOL,GK,Leicester City,24-126,2000,6.0,152,224,67.9,4176,3245,47,47,100.0,46,47,97.9,58,129,45.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
James Bree,67,engENG,DF,Southampton,27-195,1997,9.9,437,521,83.9,6984,1895,208,229,90.8,197,223,88.3,24,47,51.1,1,0.9,0.7,+0.1,10,25,6,5,30,Matches
James Garner,194,engENG,"MF,DF",Everton,24-042,2001,12.7,385,538,71.6,6687,2167,172,209,82.3,166,204,81.4,39,87,44.8,1,1.3,1.2,-0.3,11,34,5,2,33,Matches
James Hill,235,engENG,DF,Bournemouth,23-104,2002,5.0,159,245,64.9,3098,1094,51,67,76.1,85,110,77.3,21,58,36.2,1,0.3,0.3,+0.7,3,20,6,0,16,Matches
James Justin,267,engENG,DF,Leicester City,27-060,1998,28.2,1024,1322,77.5,15736,4909,535,618,86.6,418,499,83.8,40,120,33.3,1,0.5,0.7,+0.5,12,66,21,7,80,Matches
