Player,Rk,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_2,Att_2,Cmp%_2,Cmp_3,Att_3,Cmp%_3,Cmp_4,Att_4,Cmp%_4,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Morgan Rogers,438,engENG,"FW,MF",Aston Villa,22-272,2002,30.7,606,820,73.9,8871,3021,345,424,81.4,180,235,76.6,44,55,80.0,8,6.9,4.2,+1.1,45,69,51,2,113,Matches
Murillo,365,brBRA,DF,Nott'ham Forest,22-294,2002,31.5,976,1254,77.8,19356,9071,370,407,90.9,450,517,87.0,137,288,47.6,0,1.1,1.1,-1.1,12,110,11,1,100,Matches
Mykhailo Mudryk,360,uaUKR,FW,Chelsea,24-109,2001,1.7,28,42,66.7,431,165,17,24,70.8,10,15,66.7,1,2,50.0,0,1.0,0.5,-1.0,2,2,2,1,5,Matches
Myles Lewis-Skelly,301,engENG,DF,Arsenal,18-210,2006,12.0,549,605,90.7,8096,1755,310,324,95.7,218,240,90.8,12,19,63.2,0,0.3,0.4,-0.3,6,54,8,1,57,Matches
Nasser Djiga,139,bfBFA,"DF,FW",Wolves,22-160,2002,0.2,8,8,100.0,113,32,4,4,100.0,4,4,100.0,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Nathan Aké,12,nlNED,DF,Manchester City,30-065,1995,7.5,509,542,93.9,8321,2950,248,253,98.0,237,244,97.1,20,34,58.8,0,0.0,0.2,0.0,1,42,1,0,50,Matches
Nathan Broadhead,69,wlsWAL,"MF,FW",Ipswich Town,27-019,1998,6.7,149,196,76.0,2132,415,91,104,87.5,51,64,79.7,3,12,25.0,0,0.6,1.1,-0.6,6,10,4,0,12,Matches
Nathan Butler-Oyedeji,78,engENG,FW,Arsenal,22-110,2003,0.1,0,0,N/a,0,0,0,0,N/a,0,0,N/a,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Nathan Collins,105,ieIRL,DF,Brentford,23-359,2001,33.0,1501,1749,85.8,28532,9438,505,574,88.0,863,934,92.4,120,201,59.7,2,1.5,1.3,+0.5,9,94,7,2,112,Matches
Nathan Patterson,404,sctSCO,"DF,FW",Everton,23-190,2001,2.3,77,105,73.3,1294,504,38,39,97.4,32,49,65.3,6,14,42.9,0,0.3,0.3,-0.3,2,7,4,2,7,Matches
Nathan Wood-Gordon,558,engENG,DF,Southampton,22-328,2002,6.9,363,391,92.8,6144,1494,153,162,94.4,190,197,96.4,16,23,69.6,0,0.0,0.0,0.0,1,11,0,0,17,Matches
Nathaniel Clyne,102,engENG,"DF,MF",Crystal Palace,34-019,1991,5.4,171,225,76.0,3113,1102,72,89,80.9,84,95,88.4,14,30,46.7,0,0.3,0.2,-0.3,3,16,2,1,7,Matches
Neco Williams,549,wlsWAL,DF,Nott'ham Forest,24-011,2001,23.8,647,860,75.2,9805,4000,371,415,89.4,217,301,72.1,34,84,40.5,2,1.4,1.1,+0.6,14,50,17,7,70,Matches
Neto,373,brBRA,GK,Bournemouth,35-279,1989,2.0,40,62,64.5,1183,896,7,7,100.0,21,21,100.0,12,33,36.4,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Nick Pope,414,engENG,GK,Newcastle Utd,33-005,1992,23.0,471,655,71.9,12173,7422,100,101,99.0,240,244,98.4,129,307,42.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Niclas Füllkrug,189,deGER,FW,West Ham,32-074,1993,6.0,81,124,65.3,1088,188,51,70,72.9,22,37,59.5,3,5,60.0,2,1.9,0.3,+0.1,13,7,4,0,9,Matches
Nico O’Reilly,398,engENG,DF,Manchester City,20-034,2005,5.1,275,318,86.5,3695,717,185,202,91.6,82,99,82.8,3,6,50.0,0,0.4,0.7,-0.4,4,25,1,1,13,Matches
Nicolas Jackson,250,snSEN,FW,Chelsea,23-308,2001,22.5,267,358,74.6,3579,832,161,200,80.5,77,101,76.2,9,14,64.3,5,4.3,1.9,+0.7,28,21,9,1,35,Matches
Nicolás Domínguez,142,arARG,"MF,FW",Nott'ham Forest,26-300,1998,18.0,686,788,87.1,9888,2813,390,426,91.5,228,254,89.8,27,45,60.0,1,1.3,1.3,-0.3,13,68,8,0,63,Matches
Nicolás González,205,esESP,MF,Manchester City,23-111,2002,7.2,520,560,92.9,7739,1760,301,314,95.9,203,219,92.7,10,14,71.4,0,0.1,0.5,-0.1,1,48,4,0,46,Matches
Nikola Milenković,344,rsSRB,DF,Nott'ham Forest,27-194,1997,32.0,705,872,80.8,14175,5260,212,244,86.9,393,451,87.1,87,144,60.4,2,0.8,0.5,+1.2,7,47,2,0,47,Matches
Noni Madueke,314,engENG,FW,Chelsea,23-045,2002,18.3,431,552,78.1,6379,1619,263,303,86.8,133,173,76.9,20,35,57.1,3,3.9,2.8,-0.9,28,11,33,8,60,Matches
Noussair Mazraoui,332,maMAR,DF,Manchester Utd,27-161,1997,28.5,1387,1623,85.5,20824,7412,763,835,91.4,521,584,89.2,63,116,54.3,1,1.3,1.7,-0.3,17,116,18,5,102,Matches
Nélson Semedo,459,ptPOR,DF,Wolves,31-159,1993,27.6,924,1155,80.0,14149,4189,499,548,91.1,348,420,82.9,53,113,46.9,4,2.6,1.3,+1.4,19,61,22,9,66,Matches
Odsonne Édouard,155,frFRA,"MF,FW",Crystal Palace,27-098,1998,1.3,17,28,60.7,230,46,11,16,68.8,4,7,57.1,1,1,100.0,0,0.0,0.0,0.0,1,2,0,0,4,Matches
Ola Aina,8,ngNGA,DF,Nott'ham Forest,28-198,1996,28.5,839,1145,73.3,12948,5391,446,506,88.1,308,423,72.8,52,144,36.1,1,0.7,1.5,+0.3,11,78,15,7,91,Matches
Oleksandr Zinchenko,565,uaUKR,"DF,MF",Arsenal,28-130,1996,5.0,302,364,83.0,4814,1023,159,172,92.4,123,143,86.0,14,31,45.2,1,0.1,0.3,+0.9,2,24,7,1,35,Matches
Oliver Scarles,452,engENG,DF,West Ham,19-133,2005,6.6,260,333,78.1,3880,1062,157,177,88.7,91,109,83.5,10,34,29.4,0,0.0,0.1,0.0,1,9,5,1,21,Matches
Oliver Skipp,470,engENG,MF,Leicester City,24-220,2000,9.6,320,383,83.6,4778,1194,167,191,87.4,121,131,92.4,16,27,59.3,0,0.3,0.3,-0.3,9,28,4,0,25,Matches
Ollie Watkins,541,engENG,FW,Aston Villa,29-115,1995,25.1,277,376,73.7,3489,579,175,222,78.8,73,90,81.1,9,12,75.0,7,2.9,1.6,+4.1,22,11,11,0,28,Matches
Omar Marmoush,324,egEGY,"FW,MF",Manchester City,26-076,1999,10.2,192,245,78.4,2647,686,126,149,84.6,51,64,79.7,7,14,50.0,0,1.7,1.4,-1.7,13,8,22,4,26,Matches
Omari Hutchinson,242,engENG,"MF,FW",Ipswich Town,21-176,2003,24.7,581,742,78.3,9129,1609,292,331,88.2,247,292,84.6,29,55,52.7,2,2.5,1.6,-0.5,23,43,20,9,69,Matches
Orel Mangala,321,beBEL,MF,Everton,27-037,1998,14.0,437,490,89.2,6998,1567,219,242,90.5,187,197,94.9,23,30,76.7,0,0.6,0.6,-0.6,8,50,8,1,34,Matches
Oscar Bobb,60,noNOR,FW,Manchester City,21-286,2003,0.2,9,11,81.8,116,22,5,7,71.4,3,3,100.0,0,0,N/a,0,0.1,0.0,-0.1,1,0,1,0,1,Matches
Pablo Sarabia,448,esESP,"MF,FW",Wolves,32-348,1992,7.5,239,345,69.3,4059,1476,108,125,86.4,84,110,76.4,30,62,48.4,2,1.6,1.8,+0.4,13,31,17,2,47,Matches
Pape Matar Sarr,328,snSEN,MF,Tottenham,22-222,2002,17.7,808,926,87.3,12484,2883,425,466,91.2,315,349,90.3,43,57,75.4,2,1.5,0.7,+0.5,14,82,10,2,79,Matches
Patrick Dorgu,143,dkDEN,DF,Manchester Utd,20-180,2004,5.5,229,284,80.6,3162,762,150,168,89.3,67,90,74.4,6,14,42.9,0,0.4,1.0,-0.4,6,14,6,2,20,Matches
Patson Daka,116,zmZAM,"FW,MF",Leicester City,26-197,1998,7.2,100,139,71.9,1396,254,61,76,80.3,31,43,72.1,3,3,100.0,0,0.1,0.1,-0.1,1,6,1,0,8,Matches
Pau Torres,510,esESP,DF,Aston Villa,28-098,1997,19.2,1032,1169,88.3,17916,6794,447,472,94.7,509,547,93.1,64,125,51.2,0,0.1,0.4,-0.1,2,93,7,0,74,Matches
Paul Onuachu,392,ngNGA,FW,Southampton,30-331,1994,10.9,151,246,61.4,2135,343,83,130,63.8,38,62,61.3,12,19,63.2,1,0.5,0.3,+0.5,8,13,2,0,12,Matches
Pedro Lima,303,brBRA,DF,Wolves,18-297,2006,0.8,28,38,73.7,457,188,14,17,82.4,11,14,78.6,3,5,60.0,0,0.1,0.1,-0.1,2,2,3,2,4,Matches
Pedro Neto,374,ptPOR,FW,Chelsea,25-046,2000,20.4,591,749,78.9,9641,1973,295,318,92.8,218,267,81.6,54,110,49.1,4,5.4,4.2,-1.4,41,24,32,21,52,Matches
Pedro Porro,415,esESP,DF,Tottenham,25-223,1999,27.4,1324,1802,73.5,23083,9131,651,744,87.5,512,646,79.3,133,301,44.2,6,4.0,4.3,+2.0,54,120,55,26,147,Matches
Pervis Estupiñán,167,ecECU,DF,Brighton,27-093,1998,22.7,1154,1376,83.9,17530,5284,686,734,93.5,375,448,83.7,69,132,52.3,1,2.1,2.2,-1.1,24,84,30,18,101,Matches
Phil Foden,182,engENG,"MF,FW",Manchester City,24-331,2000,18.7,742,883,84.0,11563,2445,443,489,90.6,224,251,89.2,62,104,59.6,2,4.7,5.1,-2.7,42,40,35,5,95,Matches
Philip Billing,58,dkDEN,MF,Bournemouth,28-317,1996,2.0,70,102,68.6,1023,400,43,51,84.3,19,27,70.4,4,15,26.7,0,1.1,1.0,-1.1,9,9,7,2,15,Matches
Radu Drăgușin,149,roROU,DF,Tottenham,23-080,2002,13.9,716,840,85.2,13638,5250,223,245,91.0,437,470,93.0,47,107,43.9,0,0.4,0.2,-0.4,4,52,2,1,37,Matches
Raheem Sterling,484,engENG,"FW,MF",Arsenal,30-137,1994,4.8,138,179,77.1,1762,352,91,105,86.7,38,51,74.5,2,3,66.7,2,0.5,0.5,+1.5,8,4,9,2,17,Matches
Ramón Sosa,477,pyPAR,"FW,MF",Nott'ham Forest,25-236,1999,2.9,61,91,67.0,955,258,30,44,68.2,22,33,66.7,5,7,71.4,0,0.5,0.4,-0.5,8,2,5,3,4,Matches
Rasmus Højlund,243,dkDEN,FW,Manchester Utd,22-079,2003,18.4,210,272,77.2,2255,432,151,181,83.4,36,49,73.5,3,4,75.0,0,1.2,0.8,-1.2,13,12,5,1,16,Matches
Rayan Aït-Nouri,9,dzALG,DF,Wolves,23-322,2001,30.0,1226,1458,84.1,16904,5119,755,808,93.4,371,426,87.1,42,102,41.2,6,4.4,3.3,+1.6,35,65,25,7,96,Matches
Raúl Jiménez,257,mxMEX,FW,Fulham,33-354,1991,22.7,390,548,71.2,5902,1321,226,277,81.6,116,156,74.4,29,48,60.4,3,2.9,1.9,+0.1,17,33,9,3,51,Matches
Reece James,251,engENG,"DF,MF",Chelsea,25-137,1999,9.0,561,663,84.6,10132,3494,259,274,94.5,242,273,88.6,51,97,52.6,0,0.5,0.9,-0.5,10,72,5,1,50,Matches
Reiss Nelson,371,engENG,FW,Arsenal,25-135,1999,0.0,0,0,N/a,0,0,0,0,N/a,0,0,N/a,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Remy Rees-Dottin,424,engENG,FW,Bournemouth,19-049,2006,0.0,0,0,N/a,0,0,0,0,N/a,0,0,N/a,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Renato Veiga,526,ptPOR,"DF,MF",Chelsea,21-269,2003,2.0,118,139,84.9,2171,435,45,51,88.2,55,61,90.2,13,21,61.9,0,0.0,0.2,0.0,0,6,1,0,7,Matches
Ricardo Pereira,406,ptPOR,DF,Leicester City,31-200,1993,3.3,149,181,82.3,2402,677,73,84,86.9,64,76,84.2,9,10,90.0,0,0.0,0.1,0.0,0,16,0,0,13,Matches
Riccardo Calafiori,82,itITA,DF,Arsenal,22-340,2002,10.3,449,526,85.4,6549,1644,272,297,91.6,150,175,85.7,19,28,67.9,1,0.3,0.7,+0.7,6,40,9,1,54,Matches
Richarlison,431,brBRA,FW,Tottenham,27-349,1997,4.3,54,84,64.3,846,272,28,37,75.7,16,28,57.1,6,8,75.0,1,0.9,0.6,+0.1,4,7,4,2,10,Matches
Rico Henry,232,engENG,DF,Brentford,27-290,1997,0.2,8,13,61.5,127,106,4,7,57.1,4,5,80.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Rico Lewis,299,engENG,"DF,MF",Manchester City,20-154,2004,20.1,1139,1238,92.0,16444,3120,678,715,94.8,419,445,94.2,28,41,68.3,2,0.3,0.9,+1.7,7,92,13,0,103,Matches
Robert Sánchez,445,esESP,GK,Chelsea,27-157,1997,27.0,768,1064,72.2,18368,12213,187,188,99.5,402,418,96.2,176,447,39.4,0,0.0,0.0,0.0,1,23,1,0,1,Matches
Robin Olsen,389,seSWE,GK,Aston Villa,35-106,1990,2.0,54,76,71.1,1466,983,10,10,100.0,31,31,100.0,13,35,37.1,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Rodri,435,esESP,MF,Manchester City,28-306,1996,0.7,57,61,93.4,1056,250,25,26,96.2,24,27,88.9,7,7,100.0,0,0.0,0.1,0.0,1,3,1,0,4,Matches
Rodrigo Bentancur,52,uyURU,MF,Tottenham,27-303,1997,16.9,916,1040,88.1,14862,3593,439,482,91.1,407,439,92.7,46,61,75.4,0,0.4,1.0,-0.4,10,107,12,2,99,Matches
Rodrigo Gomes,201,ptPOR,"DF,FW",Wolves,21-291,2003,7.0,161,243,66.3,2382,841,93,120,77.5,58,84,69.0,6,22,27.3,0,0.8,0.7,-0.8,11,10,12,4,24,Matches
Rodrigo Muniz,362,brBRA,FW,Fulham,23-355,2001,10.7,92,142,64.8,1540,528,46,68,67.6,31,45,68.9,11,13,84.6,1,0.7,0.2,+0.3,7,13,3,0,27,Matches
Romain Esse,166,engENG,MF,Crystal Palace,19-346,2005,0.4,12,15,80.0,172,66,8,9,88.9,3,3,100.0,1,3,33.3,0,0.1,0.1,-0.1,1,1,0,0,1,Matches
Roman Dixon,138,engENG,DF,Everton,20-119,2004,1.0,11,19,57.9,205,111,6,8,75.0,4,8,50.0,1,3,33.3,0,0.0,0.0,0.0,0,3,0,0,0,Matches
Roméo Lavia,295,beBEL,MF,Chelsea,21-108,2004,6.0,269,293,91.8,4535,1211,127,141,90.1,125,130,96.2,14,17,82.4,1,0.7,0.3,+0.3,6,35,3,0,18,Matches
Ronnie Edwards,158,engENG,DF,Southampton,22-027,2003,0.1,5,5,100.0,109,0,0,0,N/a,5,5,100.0,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Ross Barkley,45,engENG,MF,Aston Villa,31-140,1993,6.3,322,374,86.1,5027,1179,167,189,88.4,136,148,91.9,13,19,68.4,1,0.6,0.4,+0.4,9,29,6,0,33,Matches
Ross Stewart,485,sctSCO,"FW,MF",Southampton,28-287,1996,2.0,43,55,78.2,628,59,20,23,87.0,20,23,87.0,0,1,0.0,0,0.0,0.0,0.0,0,1,1,0,1,Matches
Ryan Christie,99,sctSCO,MF,Bournemouth,30-061,1995,23.5,837,1056,79.3,14882,4269,368,417,88.2,378,430,87.9,82,168,48.8,3,3.5,3.0,-0.5,41,118,33,5,137,Matches
Ryan Fraser,187,sctSCO,"FW,DF",Southampton,31-059,1994,3.4,77,103,74.8,1121,208,43,46,93.5,28,40,70.0,3,10,30.0,0,0.1,0.1,-0.1,2,3,1,0,8,Matches
Ryan Gravenberch,207,nlNED,MF,Liverpool,22-343,2002,31.5,1560,1754,88.9,23289,5730,855,925,92.4,599,652,91.9,57,95,60.0,3,2.8,3.2,+0.2,24,135,31,1,160,Matches
Ryan Manning,322,ieIRL,"DF,MF",Southampton,28-314,1996,14.2,557,702,79.3,9321,2936,285,306,93.1,211,257,82.1,48,101,47.5,0,2.7,2.5,-2.7,27,24,11,8,31,Matches
Ryan Sessegnon,462,engENG,"FW,DF",Fulham,24-341,2000,3.6,61,83,73.5,869,232,40,50,80.0,14,20,70.0,3,5,60.0,2,0.6,0.5,+1.4,5,2,1,0,4,Matches
Ryan Trevitt,515,engENG,MF,Brentford,22-043,2003,0.0,4,7,57.1,73,23,1,2,50.0,3,3,100.0,0,0,N/a,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Ryan Yates,561,engENG,MF,Nott'ham Forest,27-154,1997,19.7,559,681,82.1,8140,1749,300,338,88.8,199,232,85.8,26,47,55.3,1,1.1,0.5,-0.1,17,44,4,0,45,Matches
Rúben Dias,131,ptPOR,DF,Manchester City,27-345,1997,21.2,1852,1984,93.3,31998,10291,781,806,96.9,952,990,96.2,97,146,66.4,0,0.3,0.9,-0.3,5,178,5,0,120,Matches
Sam Johnstone,263,engENG,GK,Wolves,32-030,1993,7.0,184,278,66.2,5548,4270,31,32,96.9,80,82,97.6,72,160,45.0,0,0.0,0.0,0.0,1,6,0,0,0,Matches
Sam Morsy,356,egEGY,MF,Ipswich Town,33-226,1991,25.9,1068,1235,86.5,17075,4690,560,601,93.2,414,453,91.4,67,115,58.3,1,0.8,1.1,+0.2,17,125,13,2,101,Matches
Sammie Szmodics,492,ieIRL,"FW,MF",Ipswich Town,29-212,1995,10.9,144,194,74.2,2402,702,67,77,87.0,54,64,84.4,15,29,51.7,0,0.2,0.5,-0.2,4,10,4,1,18,Matches
Samuel Amo-Ameyaw,21,engENG,"FW,DF",Southampton,18-280,2006,0.3,8,9,88.9,107,13,6,6,100.0,2,3,66.7,0,0,N/a,0,0.1,0.1,-0.1,1,0,1,1,0,Matches
Samuel Edozie,157,engENG,"DF,FW",Southampton,22-086,2003,0.7,25,33,75.8,316,67,19,21,90.5,6,7,85.7,0,3,0.0,0,0.1,0.2,-0.1,1,0,3,0,4,Matches
Sander Berge,54,noNOR,MF,Fulham,27-069,1998,21.9,957,1050,91.1,17048,4062,396,432,91.7,458,486,94.2,87,104,83.7,0,0.6,0.5,-0.6,17,103,4,0,105,Matches
Sandro Tonali,509,itITA,MF,Newcastle Utd,24-351,2000,24.2,1023,1230,83.2,15912,3988,555,621,89.4,368,426,86.4,63,106,59.4,2,1.0,1.3,+1.0,13,83,17,3,96,Matches
Santiago Bueno,73,uyURU,DF,Wolves,26-166,1998,18.6,726,824,88.1,13334,4114,256,277,92.4,406,432,94.0,51,90,56.7,0,0.0,0.1,0.0,0,23,2,0,28,Matches
Saša Lukić,308,rsSRB,MF,Fulham,28-254,1996,22.6,962,1096,87.8,16214,3853,459,498,92.2,418,452,92.5,73,105,69.5,2,2.6,1.3,-0.6,22,88,14,5,83,Matches
Scott McTominay,339,sctSCO,MF,Manchester Utd,28-137,1996,0.2,10,10,100.0,186,99,5,5,100.0,3,3,100.0,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Sean Longstaff,307,engENG,MF,Newcastle Utd,27-176,1997,8.9,294,348,84.5,4403,1171,161,185,87.0,111,120,92.5,15,22,68.2,0,0.2,0.2,-0.2,4,26,1,0,40,Matches
Sepp van den Berg,127,nlNED,DF,Brentford,23-125,2001,23.7,876,1044,83.9,15011,4775,388,446,87.0,424,480,88.3,56,89,62.9,0,0.2,0.5,-0.2,4,55,3,1,66,Matches
Sergio Reguilón,425,esESP,DF,Tottenham,28-129,1996,1.4,73,105,69.5,1144,410,33,44,75.0,36,47,76.6,3,9,33.3,0,0.0,0.2,0.0,1,11,2,1,12,Matches
Shumaira Mheuka,343,engENG,MF,Chelsea,17-186,2007,0.0,0,0,N/a,0,0,0,0,N/a,0,0,N/a,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Simon Adingra,5,ciCIV,"FW,MF",Brighton,23-113,2002,9.2,218,292,74.7,3176,683,134,156,85.9,65,87,74.7,13,25,52.0,1,1.7,2.3,-0.7,12,5,12,5,14,Matches
Solly March,323,engENG,"FW,MF",Brighton,30-278,1994,1.2,40,63,63.5,701,162,22,25,88.0,13,20,65.0,5,13,38.5,0,0.3,0.3,-0.3,3,0,4,4,1,Matches
Son Heung-min,234,krKOR,FW,Tottenham,32-290,1992,22.3,703,890,79.0,9833,2671,437,487,89.7,192,240,80.0,36,75,48.0,9,8.2,5.1,+0.8,50,36,51,6,104,Matches
Stefan Ortega,395,deGER,GK,Manchester City,32-169,1992,12.2,373,459,81.3,8327,5597,102,105,97.1,190,196,96.9,79,154,51.3,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Stephy Mavididi,330,engENG,FW,Leicester City,26-328,1998,17.9,460,613,75.0,6191,1429,286,314,91.1,124,184,67.4,18,43,41.9,1,2.6,3.3,-1.6,22,32,26,7,57,Matches
Sven Botman,63,nlNED,DF,Newcastle Utd,25-102,2000,2.5,113,128,88.3,1909,767,54,64,84.4,50,51,98.0,6,9,66.7,0,0.0,0.0,0.0,0,6,0,0,3,Matches
Sávio,451,brBRA,"FW,MF",Manchester City,21-014,2004,19.3,676,836,80.9,10078,1700,412,459,89.8,222,277,80.1,31,54,57.4,8,6.8,6.0,+1.2,44,19,47,8,66,Matches
Séamus Coleman,104,ieIRL,DF,Everton,36-195,1988,2.2,57,79,72.2,1046,504,27,29,93.1,24,31,77.4,6,16,37.5,0,0.0,0.0,0.0,0,6,0,0,8,Matches
Taiwo Awoniyi,38,ngNGA,FW,Nott'ham Forest,27-255,1997,4.2,59,91,64.8,688,157,40,55,72.7,14,25,56.0,1,5,20.0,0,0.1,0.1,-0.1,2,5,2,0,7,Matches
Takehiro Tomiyasu,508,jpJPN,DF,Arsenal,26-170,1998,0.1,3,4,75.0,42,10,1,1,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Tariq Lamptey,293,ghGHA,DF,Brighton,24-206,2000,8.5,314,381,82.4,4884,1213,169,181,93.4,124,155,80.0,18,35,51.4,2,0.8,0.5,+1.2,5,11,5,4,12,Matches
Taylor Harwood-Bellis,226,engENG,DF,Southampton,23-084,2002,27.5,1707,1935,88.2,31673,11310,625,670,93.3,918,999,91.9,150,233,64.4,0,1.0,0.6,-1.0,14,165,9,0,112,Matches
Thiago,501,brBRA,FW,Brentford,23-302,2001,1.5,28,39,71.8,428,56,14,20,70.0,9,12,75.0,3,4,75.0,0,0.1,0.0,-0.1,2,1,1,0,2,Matches
Thomas Partey,403,ghGHA,"MF,DF",Arsenal,31-315,1993,27.1,1486,1695,87.7,23752,6336,774,832,93.0,607,682,89.0,82,122,67.2,2,1.9,2.2,+0.1,17,146,33,2,165,Matches
Tim Iroegbunam,246,engENG,MF,Everton,21-298,2003,6.3,109,150,72.7,1830,586,49,67,73.1,42,50,84.0,13,19,68.4,1,0.2,0.1,+0.8,3,10,1,0,14,Matches
Timo Werner,545,deGER,"FW,MF",Tottenham,29-049,1996,5.7,158,236,66.9,2383,597,80,97,82.5,61,86,70.9,7,18,38.9,3,2.5,1.5,+0.5,10,3,15,2,30,Matches
Timothy Castagne,90,beBEL,DF,Fulham,29-140,1995,18.1,768,939,81.8,12239,3861,392,436,89.9,321,374,85.8,37,75,49.3,1,1.2,0.6,-0.2,9,51,5,3,61,Matches
Toby Collyer,106,engENG,MF,Manchester Utd,21-111,2004,2.0,76,92,82.6,1127,121,37,43,86.0,32,37,86.5,3,4,75.0,0,0.3,0.4,-0.3,2,3,1,0,5,Matches
Tom Cairney,80,sctSCO,MF,Fulham,34-094,1991,5.4,475,524,90.6,7474,1619,261,280,93.2,181,193,93.8,28,38,73.7,0,0.8,1.0,-0.8,9,46,7,3,47,Matches
Tommy Doyle,148,engENG,MF,Wolves,23-189,2001,5.4,321,392,81.9,6591,2010,112,119,94.1,138,155,89.0,61,93,65.6,1,0.5,0.3,+0.5,7,44,3,0,40,Matches
Tomáš Souček,478,czCZE,MF,West Ham,30-056,1995,24.0,600,817,73.4,10071,2803,297,377,78.8,228,297,76.8,58,84,69.0,1,1.0,1.2,0.0,14,57,8,1,66,Matches
Tosin Adarabioyo,4,engENG,DF,Chelsea,27-212,1997,13.7,988,1081,91.4,18105,6479,374,391,95.7,554,584,94.9,58,95,61.1,1,0.2,0.2,+0.8,1,53,1,0,37,Matches
Toti Gomes,202,ptPOR,DF,Wolves,26-098,1999,24.0,1148,1356,84.7,19312,6838,517,566,91.3,537,585,91.8,72,146,49.3,1,0.9,0.5,+0.1,7,68,5,3,64,Matches
Trent Alexander-Arnold,15,engENG,DF,Liverpool,26-199,1998,24.1,1325,1799,73.7,25464,10467,579,644,89.9,537,707,76.0,186,373,49.9,6,6.7,6.7,-0.7,50,189,62,20,204,Matches
Trevoh Chalobah,91,engENG,DF,Crystal Palace,25-293,1999,11.8,349,442,79.0,6831,2195,125,141,88.7,178,209,85.2,42,82,51.2,0,0.4,0.3,-0.4,4,27,2,1,34,Matches
Tyler Adams,3,usUSA,MF,Bournemouth,26-069,1999,17.0,674,811,83.1,10605,2528,328,372,88.2,291,331,87.9,29,51,56.9,3,0.8,0.5,+2.2,14,52,2,1,61,Matches
Tyler Dibling,133,engENG,"FW,MF",Southampton,19-043,2006,18.7,456,563,81.0,6830,1420,255,282,90.4,169,198,85.4,19,43,44.2,0,1.5,1.4,-1.5,20,24,20,1,59,Matches
Tyler Fredricson,188,engENG,DF,Manchester Utd,20-060,2005,1.0,64,69,92.8,1087,252,30,32,93.8,28,30,93.3,6,6,100.0,0,0.0,0.0,0.0,0,6,0,0,4,Matches
Tyrell Malacia,319,nlNED,DF,Manchester Utd,25-250,1999,1.1,49,55,89.1,642,260,31,33,93.9,13,14,92.9,2,2,100.0,0,0.0,0.0,0.0,1,7,1,0,3,Matches
Tyrick Mitchell,349,engENG,DF,Crystal Palace,25-235,1999,31.7,904,1252,72.2,14514,5536,478,567,84.3,350,470,74.5,55,130,42.3,4,5.6,3.6,-1.6,37,45,31,14,62,Matches
Tyrique George,195,engENG,FW,Chelsea,19-079,2006,1.1,38,45,84.4,494,72,21,22,95.5,14,17,82.4,0,2,0.0,1,0.7,0.3,+0.3,5,0,1,0,2,Matches
Tyrone Mings,347,engENG,DF,Aston Villa,32-042,1993,11.7,581,656,88.6,10405,3319,227,245,92.7,315,334,94.3,34,63,54.0,0,0.2,0.2,-0.2,3,47,5,0,39,Matches
Valentino Livramento,306,engENG,DF,Newcastle Utd,22-163,2002,26.6,1170,1384,84.5,17350,5756,676,748,90.4,431,500,86.2,42,76,55.3,1,2.3,2.0,-1.3,21,86,23,5,129,Matches
Victor Bernth Kristiansen,56,dkDEN,DF,Leicester City,22-129,2002,26.4,1007,1297,77.6,16181,5793,510,569,89.6,411,513,80.1,65,157,41.4,1,1.4,1.7,-0.4,18,74,23,18,69,Matches
Victor Lindelöf,304,seSWE,DF,Manchester Utd,30-281,1994,4.9,181,194,93.3,2902,764,76,83,91.6,95,98,96.9,6,8,75.0,0,0.1,0.1,-0.1,3,6,2,1,7,Matches
Virgil van Dijk,524,nlNED,DF,Liverpool,33-290,1991,33.0,2371,2590,91.5,43424,17059,968,1009,95.9,1176,1233,95.4,204,300,68.0,1,0.7,0.8,+0.3,11,258,5,0,172,Matches
Vitaliy Mykolenko,367,uaUKR,DF,Everton,25-330,1999,29.2,836,1127,74.2,14099,5810,425,477,89.1,317,429,73.9,77,171,45.0,1,1.5,1.8,-0.5,19,95,35,20,99,Matches
Vitaly Janelt,252,deGER,MF,Brentford,26-349,1998,25.0,872,1057,82.5,14466,4279,443,489,90.6,344,403,85.4,66,118,55.9,3,2.2,2.4,+0.8,14,78,23,7,80,Matches
