Player,Rk,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_2,PassDead_2,TO_2,Sh_2,Fld_2,Def_2,Matches
Leif Davis,123,engENG,DF,Ipswich Town,25-102,2000,28.5,85,2.98,42,36,3,2,1,1,4,0.14,3,0,1,0,0,0,Matches
Leny Yoro,562,frFRA,DF,Manchester Utd,19-162,2005,10.9,5,0.46,2,0,0,2,0,1,0,0.00,0,0,0,0,0,0,Matches
Leon Bailey,43,jmJAM,"FW,MF",Aston Villa,27-258,1997,12.6,38,3.01,23,1,8,3,3,0,4,0.32,4,0,0,0,0,0,Matches
Lesley Ugochukwu,522,frFRA,MF,Southampton,21-029,2004,15.1,22,1.46,18,0,1,1,2,0,1,0.07,0,0,0,1,0,0,Matches
Levi Colwill,107,engENG,DF,Chelsea,22-057,2003,30.0,37,1.23,33,2,0,1,0,1,3,0.10,2,0,0,0,0,1,Matches
Lewis Cook,108,engENG,"MF,DF",Bournemouth,28-080,1997,30.1,86,2.86,66,18,0,2,0,0,5,0.17,2,1,0,2,0,0,Matches
Lewis Dunk,151,engENG,DF,Brighton,33-154,1991,21.1,18,0.85,16,0,0,2,0,0,3,0.14,2,0,0,1,0,0,Matches
Lewis Hall,222,engENG,DF,Newcastle Utd,20-228,2004,24.3,63,2.59,44,18,0,0,1,0,6,0.25,5,1,0,0,0,0,Matches
Lewis Miley,345,engENG,MF,Newcastle Utd,18-358,2006,2.5,3,1.19,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Lewis Orford,394,engENG,MF,West Ham,19-065,2006,0.5,2,3.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Liam Delap,126,engENG,FW,Ipswich Town,22-075,2003,26.2,60,2.30,27,0,11,7,13,2,7,0.27,3,0,2,0,2,0,Matches
Lisandro Martínez,327,arARG,DF,Manchester Utd,27-096,1998,19.5,26,1.34,23,0,0,2,0,1,2,0.10,2,0,0,0,0,0,Matches
Lloyd Kelly,275,engENG,DF,Newcastle Utd,26-200,1998,3.4,2,0.59,2,0,0,0,0,0,1,0.30,1,0,0,0,0,0,Matches
Lucas Bergvall,55,seSWE,MF,Tottenham,19-081,2006,12.5,21,1.68,15,4,0,2,0,0,4,0.32,3,0,0,1,0,0,Matches
Lucas Digne,134,frFRA,DF,Aston Villa,31-278,1993,24.9,63,2.53,39,18,1,4,0,1,5,0.20,5,0,0,0,0,0,Matches
Lucas Paquetá,402,brBRA,"MF,FW",West Ham,27-240,1997,24.1,75,3.12,62,2,1,4,5,1,6,0.25,3,0,0,2,1,0,Matches
Luis Díaz,132,coCOL,FW,Liverpool,28-101,1997,23.9,115,4.81,86,0,16,9,4,0,16,0.67,13,0,1,0,2,0,Matches
Luis Guilherme,215,brBRA,"MF,FW",West Ham,19-074,2006,1.5,10,6.52,6,1,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Luis Sinisterra,469,coCOL,"FW,MF",Bournemouth,25-311,1999,2.6,14,5.29,11,0,1,2,0,0,1,0.38,1,0,0,0,0,0,Matches
Luke Shaw,463,engENG,DF,Manchester Utd,29-286,1995,0.9,2,2.17,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Luke Thomas,502,engENG,DF,Leicester City,23-318,2001,7.7,5,0.65,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Luke Woolfenden,559,engENG,DF,Ipswich Town,26-185,1998,11.2,2,0.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mads Hermansen,233,dkDEN,GK,Leicester City,24-287,2000,25.5,3,0.12,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mads Roerslev,437,dkDEN,DF,Brentford,25-304,1999,12.2,21,1.72,18,0,1,1,1,0,2,0.16,2,0,0,0,0,0,Matches
Malo Gusto,219,frFRA,DF,Chelsea,21-340,2003,20.2,56,2.77,55,0,0,1,0,0,4,0.20,4,0,0,0,0,0,Matches
Manuel Akanji,11,chSUI,DF,Manchester City,29-279,1995,19.0,34,1.79,34,0,0,0,0,0,2,0.11,2,0,0,0,0,0,Matches
Manuel Ugarte Ribeiro,521,uyURU,MF,Manchester Utd,24-013,2001,17.7,27,1.53,21,0,0,1,2,3,2,0.11,2,0,0,0,0,0,Matches
Marc Cucurella,113,esESP,DF,Chelsea,26-276,1998,28.2,45,1.60,39,3,0,2,1,0,5,0.18,4,1,0,0,0,0,Matches
Marc Guiu,217,esESP,FW,Chelsea,19-110,2006,0.8,1,1.22,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
