Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
João Pedro,259,brBRA,"FW,MF",Brighton,23-210,2001,21.6,10,42,15,35.7,1.94,0.69,0.12,0.33,17.2,0,5,5,8.9,5.0,0.12,+1.1,0.0,Matches
Joël Veltman,527,nlNED,DF,Brighton,33-099,1992,18.3,0,6,1,16.7,0.33,0.05,0.00,0.00,19.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
Joško Gvardiol,220,hrCRO,DF,Manchester City,23-091,2002,32.4,5,37,11,29.7,1.14,0.34,0.14,0.45,13.0,0,0,0,4.4,4.0,0.11,+0.6,+1.0,Matches
Julian Araujo,29,mxMEX,DF,Bournemouth,23-254,2001,4.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Julio Enciso,162,pyPAR,"MF,FW",Ipswich Town,21-091,2004,6.1,1,19,7,36.8,3.11,1.15,0.05,0.14,22.8,1,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
Julio Soler,476,arARG,FW,Bournemouth,20-067,2005,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jurriën Timber,505,nlNED,DF,Arsenal,23-311,2001,26.9,1,14,4,28.6,0.52,0.15,0.07,0.25,14.1,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Justin Devenny,128,nirNIR,MF,Crystal Palace,21-195,2003,4.8,1,8,4,50.0,1.68,0.84,0.13,0.25,21.2,1,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
Justin Kluivert,283,nlNED,"MF,FW",Bournemouth,25-354,1999,22.5,12,50,22,44.0,2.22,0.98,0.12,0.27,20.1,0,6,6,9.9,5.1,0.10,+2.1,+0.9,Matches
Jáder Durán,152,coCOL,FW,Aston Villa,21-132,2003,7.1,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,4.9,4.9,0.16,+2.1,+2.1,Matches
Jørgen Strand Larsen,488,noNOR,FW,Wolves,25-077,2000,26.5,12,49,31,63.3,1.85,1.17,0.24,0.39,11.6,0,0,0,9.3,9.3,0.19,+2.7,+2.7,Matches
Kaelan Casey,87,engENG,DF,West Ham,20-178,2004,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Kai Havertz,227,deGER,"FW,MF",Arsenal,25-317,1999,20.4,9,52,21,40.4,2.54,1.03,0.17,0.43,11.7,0,0,0,9.4,9.4,0.18,-0.4,-0.4,Matches
Kalvin Phillips,407,engENG,MF,Ipswich Town,29-143,1995,13.5,0,10,2,20.0,0.74,0.15,0.00,0.00,24.2,3,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Kamaldeen Sulemana,490,ghGHA,"FW,MF",Southampton,23-068,2002,11.6,1,22,7,31.8,1.89,0.60,0.05,0.14,18.1,0,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
Kaoru Mitoma,350,jpJPN,"FW,MF",Brighton,27-339,1997,27.7,8,53,24,45.3,1.91,0.87,0.15,0.33,14.1,0,0,0,8.2,8.2,0.16,-0.2,-0.2,Matches
Kasey McAteer,335,ieIRL,"FW,MF",Leicester City,23-153,2001,5.4,0,8,3,37.5,1.49,0.56,0.00,0.00,16.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
Keane Lewis-Potter,300,engENG,"DF,FW",Brentford,24-061,2001,30.2,1,27,14,51.9,0.90,0.46,0.04,0.07,20.5,1,0,0,2.6,2.6,0.09,-1.6,-1.6,Matches
Kenny Tete,500,nlNED,DF,Fulham,29-197,1995,15.0,0,21,2,9.5,1.40,0.13,0.00,0.00,16.3,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
Kepa Arrizabalaga,35,esESP,GK,Bournemouth,30-203,1994,26.0,0,1,0,0.0,0.04,0.00,0.00,N/a,9.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Kevin Danso,121,atAUT,DF,Tottenham,26-217,1998,4.4,0,5,2,40.0,1.15,0.46,0.00,0.00,15.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Kevin De Bruyne,125,beBEL,"MF,FW",Manchester City,33-300,1991,16.2,3,48,13,27.1,2.97,0.80,0.06,0.23,21.9,6,0,0,3.4,3.4,0.07,-0.4,-0.4,Matches
Kevin Schade,454,deGER,FW,Brentford,23-148,2001,21.5,7,45,19,42.2,2.10,0.89,0.16,0.37,11.9,0,0,0,6.2,6.2,0.14,+0.8,+0.8,Matches
Kieran Tierney,504,sctSCO,"DF,FW",Arsenal,27-323,1997,2.0,0,1,0,0.0,0.50,0.00,0.00,N/a,2.6,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches
Kieran Trippier,516,engENG,DF,Newcastle Utd,34-217,1990,12.2,0,3,0,0.0,0.25,0.00,0.00,N/a,22.2,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Kiernan Dewsbury-Hall,129,engENG,"MF,FW",Chelsea,26-230,1998,2.9,0,1,0,0.0,0.35,0.00,0.00,N/a,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches
Kim Jisoo,258,krKOR,DF,Brentford,20-121,2004,0.3,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Kobbie Mainoo,318,engENG,MF,Manchester Utd,20-005,2005,15.0,0,11,1,9.1,0.73,0.07,0.00,0.00,20.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Konstantinos Mavropanos,331,grGRE,DF,West Ham,27-134,1997,20.6,0,17,5,29.4,0.83,0.24,0.00,0.00,15.0,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches
Kosta Nedeljković,370,rsSRB,DF,Aston Villa,19-129,2005,1.4,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Kostas Tsimikas,518,grGRE,DF,Liverpool,28-347,1996,7.4,0,4,2,50.0,0.54,0.27,0.00,0.00,16.1,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
Kristoffer Ajer,10,noNOR,DF,Brentford,27-007,1998,15.4,0,8,3,37.5,0.52,0.19,0.00,0.00,10.2,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
Kyle Walker,533,engENG,DF,Manchester City,34-331,1990,10.8,0,5,2,40.0,0.46,0.19,0.00,0.00,27.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Kyle Walker-Peters,534,engENG,DF,Southampton,28-011,1997,30.4,0,19,5,26.3,0.62,0.16,0.00,0.00,18.6,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Lamare Bogarde,61,nlNED,"DF,MF",Aston Villa,21-109,2004,5.3,0,1,1,100.0,0.19,0.19,0.00,0.00,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Leandro Trossard,517,beBEL,FW,Arsenal,30-141,1994,25.2,8,66,20,30.3,2.62,0.80,0.12,0.40,16.0,0,0,0,6.6,6.6,0.10,+1.4,+1.4,Matches
Leif Davis,123,engENG,DF,Ipswich Town,25-102,2000,28.5,1,14,2,14.3,0.49,0.07,0.07,0.50,20.4,2,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches
Leny Yoro,562,frFRA,DF,Manchester Utd,19-162,2005,10.9,0,5,1,20.0,0.46,0.09,0.00,0.00,8.6,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Matches
Leon Bailey,43,jmJAM,"FW,MF",Aston Villa,27-258,1997,12.6,1,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
Lesley Ugochukwu,522,frFRA,MF,Southampton,21-029,2004,15.1,1,9,1,11.1,0.60,0.07,0.11,1.00,18.4,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
Levi Colwill,107,engENG,DF,Chelsea,22-057,2003,30.0,1,16,3,18.8,0.53,0.10,0.06,0.33,9.9,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
Lewis Cook,108,engENG,"MF,DF",Bournemouth,28-080,1997,30.1,1,14,4,28.6,0.47,0.13,0.07,0.25,23.4,1,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
Lewis Dunk,151,engENG,DF,Brighton,33-154,1991,21.1,0,10,2,20.0,0.47,0.09,0.00,0.00,13.4,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Lewis Hall,222,engENG,DF,Newcastle Utd,20-228,2004,24.3,0,11,1,9.1,0.45,0.04,0.00,0.00,18.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Lewis Miley,345,engENG,MF,Newcastle Utd,18-358,2006,2.5,1,3,2,66.7,1.20,0.80,0.33,0.50,14.6,0,0,0,0.5,0.5,0.18,+0.5,+0.5,Matches
Lewis Orford,394,engENG,MF,West Ham,19-065,2006,0.5,0,1,0,0.0,1.84,0.00,0.00,N/a,12.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Liam Delap,126,engENG,FW,Ipswich Town,22-075,2003,26.2,12,59,27,45.8,2.26,1.03,0.17,0.37,15.8,0,2,2,9.0,7.4,0.13,+3.0,+2.6,Matches
Lisandro Martínez,327,arARG,DF,Manchester Utd,27-096,1998,19.5,2,17,6,35.3,0.87,0.31,0.12,0.33,15.9,0,0,0,1.3,1.3,0.08,+0.7,+0.7,Matches
Lloyd Kelly,275,engENG,DF,Newcastle Utd,26-200,1998,3.4,0,3,0,0.0,0.89,0.00,0.00,N/a,7.3,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
Lucas Bergvall,55,seSWE,MF,Tottenham,19-081,2006,12.5,0,12,2,16.7,0.96,0.16,0.00,0.00,19.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
Lucas Digne,134,frFRA,DF,Aston Villa,31-278,1993,24.9,0,13,3,23.1,0.52,0.12,0.00,0.00,22.7,5,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Lucas Paquetá,402,brBRA,"MF,FW",West Ham,27-240,1997,24.1,4,37,3,8.1,1.54,0.12,0.05,0.67,19.4,4,2,2,5.2,3.6,0.10,-1.2,-1.6,Matches
Luis Díaz,132,coCOL,FW,Liverpool,28-101,1997,23.9,11,64,26,40.6,2.68,1.09,0.17,0.42,13.7,0,0,0,9.2,9.2,0.14,+1.8,+1.8,Matches
Luis Guilherme,215,brBRA,"MF,FW",West Ham,19-074,2006,1.5,0,3,1,33.3,1.96,0.65,0.00,0.00,14.9,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
Luis Sinisterra,469,coCOL,"FW,MF",Bournemouth,25-311,1999,2.6,1,13,6,46.2,4.96,2.29,0.08,0.17,14.8,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Luke Shaw,463,engENG,DF,Manchester Utd,29-286,1995,0.9,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Luke Thomas,502,engENG,DF,Leicester City,23-318,2001,7.7,0,3,0,0.0,0.39,0.00,0.00,N/a,18.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Luke Woolfenden,559,engENG,DF,Ipswich Town,26-185,1998,11.2,0,1,0,0.0,0.09,0.00,0.00,N/a,12.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Mads Hermansen,233,dkDEN,GK,Leicester City,24-287,2000,25.5,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Mads Roerslev,437,dkDEN,DF,Brentford,25-304,1999,12.2,0,5,2,40.0,0.41,0.16,0.00,0.00,20.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Malo Gusto,219,frFRA,DF,Chelsea,21-340,2003,20.2,0,22,4,18.2,1.09,0.20,0.00,0.00,21.3,0,0,0,1.7,1.7,0.08,-1.7,-1.7,Matches
Manuel Akanji,11,chSUI,DF,Manchester City,29-279,1995,19.0,0,10,1,10.0,0.53,0.05,0.00,0.00,16.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Manuel Ugarte Ribeiro,521,uyURU,MF,Manchester Utd,24-013,2001,17.7,1,16,3,18.8,0.91,0.17,0.06,0.33,22.0,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
Marc Cucurella,113,esESP,DF,Chelsea,26-276,1998,28.2,4,19,7,36.8,0.67,0.25,0.21,0.57,16.6,0,0,0,2.2,2.2,0.12,+1.8,+1.8,Matches
Marc Guiu,217,esESP,FW,Chelsea,19-110,2006,0.8,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Marc Guéhi,214,engENG,DF,Crystal Palace,24-285,2000,32.0,3,14,7,50.0,0.44,0.22,0.21,0.43,10.3,0,0,0,1.9,1.9,0.13,+1.1,+1.1,Matches
Marco Asensio,36,esESP,"MF,FW",Aston Villa,29-093,1996,5.3,3,17,8,47.1,3.18,1.50,0.18,0.38,18.9,1,0,2,4.2,2.6,0.15,-1.2,+0.4,Matches
Marcos Senesi,461,arARG,DF,Bournemouth,27-349,1997,11.2,0,2,0,0.0,0.18,0.00,0.00,N/a,6.0,0,0,0,0.8,0.8,0.40,-0.8,-0.8,Matches
Marcus Harness,224,engENG,MF,Ipswich Town,29-059,1996,0.5,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Marcus Rashford,420,engENG,"FW,MF",Manchester Utd,27-175,1997,10.9,4,16,9,56.3,1.47,0.83,0.25,0.44,16.4,0,0,0,1.7,1.7,0.11,+2.3,+2.3,Matches
Marcus Tavernier,496,engENG,"FW,MF",Bournemouth,26-033,1999,17.3,3,48,15,31.3,2.77,0.86,0.06,0.20,20.5,4,0,0,5.2,5.2,0.11,-2.2,-2.2,Matches
Mario Lemina,296,gaGAB,"MF,DF",Wolves,31-235,1993,15.2,1,18,5,27.8,1.19,0.33,0.06,0.20,21.9,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
Mark Flekken,181,nlNED,GK,Brentford,31-315,1993,31.4,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Mark Travers,514,ieIRL,GK,Bournemouth,25-341,1999,5.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Marshall Munetsi,361,zwZIM,"MF,FW",Wolves,28-306,1996,7.8,1,15,5,33.3,1.93,0.64,0.07,0.20,14.8,0,0,0,3.0,3.0,0.20,-2.0,-2.0,Matches
Martial Godo,199,engENG,FW,Fulham,22-041,2003,0.2,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Martin Dúbravka,150,skSVK,GK,Newcastle Utd,36-099,1989,10.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Martin Ødegaard,567,noNOR,MF,Arsenal,26-128,1998,22.7,2,41,13,31.7,1.81,0.57,0.02,0.08,18.7,2,1,1,4.4,3.7,0.09,-2.4,-2.7,Matches
Mason Holgate,238,engENG,"FW,DF",Everton,28-184,1996,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Mason Mount,358,engENG,"MF,FW",Manchester Utd,26-104,1999,3.9,0,8,3,37.5,2.07,0.78,0.00,0.00,15.9,0,0,0,1.2,1.2,0.15,-1.2,-1.2,Matches
Massimo Luongo,310,auAUS,MF,Ipswich Town,32-211,1992,2.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Mateo Kovačić,286,hrCRO,MF,Manchester City,30-353,1994,21.8,6,38,12,31.6,1.74,0.55,0.16,0.50,22.2,0,0,0,1.7,1.7,0.04,+4.3,+4.3,Matches
Mateus Fernandes,179,ptPOR,MF,Southampton,20-288,2004,27.8,2,37,14,37.8,1.33,0.50,0.05,0.14,18.6,3,0,0,3.7,3.7,0.10,-1.7,-1.7,Matches
Matheus Cunha,115,brBRA,"MF,FW",Wolves,25-332,1999,25.0,14,89,37,41.6,3.56,1.48,0.16,0.38,20.7,11,0,0,7.3,7.3,0.08,+6.7,+6.7,Matches
Matheus França,186,brBRA,"FW,MF",Crystal Palace,21-023,2004,0.3,1,3,2,66.7,10.38,6.92,0.33,0.50,12.8,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
Matheus Nunes,378,ptPOR,"DF,MF",Manchester City,26-240,1998,15.6,1,7,3,42.9,0.45,0.19,0.14,0.33,18.3,0,0,0,0.9,0.9,0.13,+0.1,+0.1,Matches
Mathias Jensen,255,dkDEN,MF,Brentford,29-113,1996,8.6,0,6,1,16.7,0.70,0.12,0.00,0.00,23.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Mathis Amougou,22,frFRA,MF,Chelsea,19-096,2006,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Mathys Tel,499,frFRA,FW,Tottenham,19-362,2005,5.5,2,17,6,35.3,3.11,1.10,0.06,0.17,15.8,0,1,1,2.1,1.3,0.08,-0.1,-0.3,Matches
Mats Wieffer,548,nlNED,"MF,DF",Brighton,25-159,1999,6.7,1,6,2,33.3,0.90,0.30,0.17,0.50,12.7,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
Matt Doherty,140,ieIRL,DF,Wolves,33-098,1992,20.2,2,10,3,30.0,0.50,0.15,0.20,0.67,11.4,0,0,0,1.0,1.0,0.10,+1.0,+1.0,Matches
Matt O'Riley,383,dkDEN,MF,Brighton,24-154,2000,7.5,1,19,5,26.3,2.53,0.66,0.05,0.20,16.7,2,0,0,1.9,1.9,0.10,-0.9,-0.9,Matches
Matt Targett,494,engENG,DF,Newcastle Utd,29-218,1995,0.2,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Matthijs de Ligt,302,nlNED,DF,Manchester Utd,25-255,1999,23.2,2,18,9,50.0,0.78,0.39,0.11,0.22,7.9,0,0,0,2.5,2.5,0.14,-0.5,-0.5,Matches
Matty Cash,88,plPOL,DF,Aston Villa,27-260,1997,19.0,1,10,4,40.0,0.53,0.21,0.10,0.25,19.0,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
Matz Sels,458,beBEL,GK,Nott'ham Forest,33-057,1992,33.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Max Aarons,1,engENG,DF,Bournemouth,25-110,2000,1.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Max Kilman,279,engENG,DF,West Ham,27-336,1997,32.2,0,11,2,18.2,0.34,0.06,0.00,0.00,8.4,0,0,0,1.4,1.4,0.13,-1.4,-1.4,Matches
Maxence Lacroix,291,frFRA,DF,Crystal Palace,25-018,2000,30.6,1,25,5,20.0,0.82,0.16,0.04,0.20,11.8,0,0,0,2.8,2.8,0.11,-1.8,-1.8,Matches
Maxwel Cornet,109,ciCIV,FW,Southampton,28-209,1996,0.8,0,1,0,0.0,1.25,0.00,0.00,N/a,18.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
Michael Kayode,272,itITA,DF,Brentford,20-288,2004,1.4,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Michael Keane,273,engENG,DF,Everton,32-103,1993,9.5,2,8,3,37.5,0.85,0.32,0.25,0.67,14.8,0,0,0,0.4,0.4,0.05,+1.6,+1.6,Matches
Michail Antonio,27,jmJAM,FW,West Ham,35-027,1990,9.3,1,19,4,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2,Matches
Micky van de Ven,528,nlNED,DF,Tottenham,24-005,2001,10.6,0,6,2,33.3,0.57,0.19,0.00,0.00,11.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Miguel Almirón,17,pyPAR,FW,Newcastle Utd,31-073,1994,1.7,0,6,2,33.3,3.44,1.15,0.00,0.00,14.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Mikel Merino,342,esESP,"MF,FW",Arsenal,28-306,1996,15.6,6,32,12,37.5,2.06,0.77,0.19,0.50,10.5,0,0,0,4.4,4.4,0.14,+1.6,+1.6,Matches
Mikey Moore,353,engENG,"FW,MF",Tottenham,17-256,2007,2.1,0,3,0,0.0,1.46,0.00,0.00,N/a,19.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Mikkel Damsgaard,118,dkDEN,"MF,FW",Brentford,24-295,2000,27.7,2,31,7,22.6,1.12,0.25,0.06,0.29,17.1,3,0,0,2.6,2.6,0.08,-0.6,-0.6,Matches
Milos Kerkez,276,huHUN,DF,Bournemouth,21-168,2003,32.2,2,17,5,29.4,0.53,0.16,0.12,0.40,20.4,0,0,0,0.5,0.5,0.03,+1.5,+1.5,Matches
Mohamed Salah,443,egEGY,FW,Liverpool,32-313,1992,32.5,27,107,46,43.0,3.30,1.42,0.17,0.39,14.7,1,9,9,23.7,16.7,0.16,+3.3,+1.3,Matches
Mohammed Kudus,289,ghGHA,"FW,MF",West Ham,24-265,2000,24.9,3,65,19,29.2,2.61,0.76,0.05,0.16,15.6,0,0,0,6.2,6.2,0.10,-3.2,-3.2,Matches
Moisés Caicedo,79,ecECU,MF,Chelsea,23-173,2001,32.2,1,17,3,17.6,0.53,0.09,0.06,0.33,25.0,0,0,0,0.7,0.7,0.04,+0.3,+0.3,Matches
Morato,354,brBRA,DF,Nott'ham Forest,23-298,2001,8.9,0,2,1,50.0,0.23,0.11,0.00,0.00,8.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Morgan Gibbs-White,196,engENG,MF,Nott'ham Forest,25-087,2000,26.4,5,52,18,34.6,1.97,0.68,0.10,0.28,17.0,3,0,0,4.6,4.6,0.09,+0.4,+0.4,Matches
Morgan Rogers,438,engENG,"FW,MF",Aston Villa,22-272,2002,30.7,8,52,19,36.5,1.69,0.62,0.15,0.42,15.8,0,0,0,6.1,6.1,0.12,+1.9,+1.9,Matches
Murillo,365,brBRA,DF,Nott'ham Forest,22-294,2002,31.5,1,20,4,20.0,0.63,0.13,0.05,0.25,24.3,3,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
Mykhailo Mudryk,360,uaUKR,FW,Chelsea,24-109,2001,1.7,0,1,1,100.0,0.60,0.60,0.00,0.00,11.6,0,0,0,0.3,0.3,0.25,-0.3,-0.3,Matches
Myles Lewis-Skelly,301,engENG,DF,Arsenal,18-210,2006,12.0,1,2,1,50.0,0.17,0.08,0.50,1.00,14.3,0,0,0,0.1,0.1,0.06,+0.9,+0.9,Matches
Nasser Djiga,139,bfBFA,"DF,FW",Wolves,22-160,2002,0.2,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Nathan Aké,12,nlNED,DF,Manchester City,30-065,1995,7.5,0,3,0,0.0,0.40,0.00,0.00,N/a,10.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Nathan Broadhead,69,wlsWAL,"MF,FW",Ipswich Town,27-019,1998,6.7,1,10,6,60.0,1.49,0.89,0.10,0.17,15.4,0,0,0,1.5,1.5,0.15,-0.5,-0.5,Matches
Nathan Butler-Oyedeji,78,engENG,FW,Arsenal,22-110,2003,0.1,0,1,1,100.0,12.86,12.86,0.00,0.00,15.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Nathan Collins,105,ieIRL,DF,Brentford,23-359,2001,33.0,2,16,6,37.5,0.48,0.18,0.13,0.33,10.8,0,0,0,2.5,2.5,0.15,-0.5,-0.5,Matches
Nathan Patterson,404,sctSCO,"DF,FW",Everton,23-190,2001,2.3,0,1,0,0.0,0.44,0.00,0.00,N/a,16.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Nathan Wood-Gordon,558,engENG,DF,Southampton,22-328,2002,6.9,0,2,0,0.0,0.29,0.00,0.00,N/a,5.9,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Nathaniel Clyne,102,engENG,"DF,MF",Crystal Palace,34-019,1991,5.4,0,2,0,0.0,0.37,0.00,0.00,N/a,31.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Neco Williams,549,wlsWAL,DF,Nott'ham Forest,24-011,2001,23.8,1,32,6,18.8,1.34,0.25,0.03,0.17,19.7,1,0,0,2.2,2.2,0.07,-1.2,-1.2,Matches
Neto,373,brBRA,GK,Bournemouth,35-279,1989,2.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Nick Pope,414,engENG,GK,Newcastle Utd,33-005,1992,23.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Niclas Füllkrug,189,deGER,FW,West Ham,32-074,1993,6.0,3,13,5,38.5,2.15,0.83,0.23,0.60,10.4,0,0,0,1.9,1.9,0.15,+1.1,+1.1,Matches
Nico O’Reilly,398,engENG,DF,Manchester City,20-034,2005,5.1,2,6,2,33.3,1.18,0.39,0.33,1.00,16.3,0,0,0,1.2,1.2,0.19,+0.8,+0.8,Matches
Nicolas Jackson,250,snSEN,FW,Chelsea,23-308,2001,22.5,9,73,31,42.5,3.24,1.38,0.12,0.29,12.6,0,0,0,12.1,12.1,0.17,-3.1,-3.1,Matches
Nicolás Domínguez,142,arARG,"MF,FW",Nott'ham Forest,26-300,1998,18.0,0,18,7,38.9,1.00,0.39,0.00,0.00,19.0,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
Nicolás González,205,esESP,MF,Manchester City,23-111,2002,7.2,0,7,0,0.0,0.97,0.00,0.00,N/a,19.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Nikola Milenković,344,rsSRB,DF,Nott'ham Forest,27-194,1997,32.0,4,26,7,26.9,0.81,0.22,0.15,0.57,12.1,0,0,0,3.6,3.6,0.14,+0.4,+0.4,Matches
Noni Madueke,314,engENG,FW,Chelsea,23-045,2002,18.3,7,69,26,37.7,3.77,1.42,0.10,0.27,14.6,0,0,0,7.9,7.9,0.11,-0.9,-0.9,Matches
Noussair Mazraoui,332,maMAR,DF,Manchester Utd,27-161,1997,28.5,0,12,3,25.0,0.42,0.11,0.00,0.00,20.8,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Nélson Semedo,459,ptPOR,DF,Wolves,31-159,1993,27.6,0,15,6,40.0,0.54,0.22,0.00,0.00,24.2,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
Odsonne Édouard,155,frFRA,"MF,FW",Crystal Palace,27-098,1998,1.3,0,5,1,20.0,3.91,0.78,0.00,0.00,20.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
