Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Ben Mee,340,engENG,DF,Brentford,35-215,1989,2.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Ben White,547,engENG,DF,Arsenal,27-198,1997,9.5,0,7,1,14.3,0.74,0.11,0.00,0.00,19.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Ben Winterburn,555,engENG,"FW,MF",Bournemouth,20-232,2004,0.3,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Benoît Badiashile,42,frFRA,DF,Chelsea,24-029,2001,3.7,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Bernardo Silva,465,ptPOR,"MF,FW",Manchester City,30-257,1994,25.7,3,28,10,35.7,1.09,0.39,0.11,0.30,12.9,0,0,0,3.2,3.2,0.12,-0.2,-0.2,Matches
Bernd Leno,297,deGER,GK,Fulham,33-051,1992,33.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Beto,57,gwGNB,FW,Everton,27-083,1998,12.5,6,34,17,50.0,2.71,1.36,0.18,0.35,13.4,0,0,0,6.1,6.1,0.18,-0.1,-0.1,Matches
Bilal El Khannouss,277,maMAR,MF,Leicester City,20-349,2004,20.4,2,22,6,27.3,1.08,0.29,0.09,0.33,22.6,0,0,0,0.8,0.8,0.04,+1.2,+1.2,Matches
Billy Gilmour,197,sctSCO,MF,Brighton,23-317,2001,1.1,0,1,0,0.0,0.92,0.00,0.00,N/a,25.5,1,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Bobby Reid,426,jmJAM,FW,Leicester City,32-081,1993,7.8,1,6,3,50.0,0.77,0.39,0.17,0.33,26.4,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches
